"state_county_FIPS","sum_bw"
"13267",134681.02
"13269",11599.91
"13271",8122.31
"13273",23406.68
"13275",193416.3
"13277",175959.78
"13279",452969.94
"13281",16880.47
"13283",16412.84
"13285",344806.76
"13287",25543.2
"13289",20546.16
"13291",47576.88
"13293",92593.1
"13295",45663.81
"13297",395505.84
"13299",180305.25
"13301",34214.26
"13303",52605.34
"13305",70705.55
"13309",39094.94
"13311",51112.32
"13313",477320.98
"13315",7794.22
"13317",8589.37
"13319",11235.76
"13321",9672.38
"15001",1245792.93
"15003",7488196.99
"15007",463414.77
"15009",1195412.85
"16001",2065067.45
"16003",1049.49
"16005",225927.15
"16007",397.59
"16009",62047.57
"16011",171484.14
"16013",190946.81
"16015",3043.98
"16017",442718.6
"16019",323135.28
"16021",48768.22
"16023",6817.36
"16027",922288.84
"16029",12336.77
"16031",45239.16
"16033",104.39
"16035",0
"16037",902.59
"16039",151466.61
"16041",2527.92
"16043",21958.55
"16045",37329.79
"16047",17292.45
"16049",12567.53
"16051",45876.34
"16053",91996.13
"16055",591273.15
"16057",16808.71
"16059",5135.13
"16061",1121.08
"16063",0
"16065",27384.18
"16067",58890.55
"16069",100631.44
"16071",106072.72
"16073",15738.94
"16075",6467.6
"16077",0
"16079",244280.6
"16081",13859.06
"16083",189983.14
"16085",56486.14
"17001",166611.17
"17003",3166
"17005",1863.9
"17007",70353.68
"17009",0
"17011",9699.31
"17013",0
"17015",0
"17017",10713.7
"17019",444923.71
"17021",79698.31
"17023",25982.7
"17025",4181.93
"17027",10999.39
"17029",231010.59
"17031",24642720.71
"17033",70547.81
"17035",686.97
"17039",1859.26
"17041",34452.37
"17045",6212
"17047",30724.42
"17049",142014.09
"17051",2033.84
"17053",2600.28
"17055",64891.96
"17057",76992.35
"17059",816865.53
"17061",1330.67
"17063",67813.68
"17065",0
"17067",1466.73
"17069",2060
"17071",0
"17073",33481.39
"17075",121519.86
"17077",30374.74
"17079",0
"17081",28105.14
"17083",1716.5
"17085",107535.08
"17087",0
"17089",1248568.24
"17091",186531.22
"17093",164025.27
"17095",36322.56
"17097",3298312.39
"17101",20068.06
"17103",16407.65
"17105",38663.89
"17107",14136
"17109",31613.68
"17111",316338.94
"17113",880027.89
"17115",532020.14
"17117",46893.22
"17119",655332.81
"17121",91771.97
"17123",57029.87
"17125",16314.09
"17127",6242.89
"17129",5637.7
"17131",1598
"17133",95750.92
"17135",109451.68
"17137",105701.23
"17139",38844.39
"17141",5282.05
"17143",666484.78
"17145",0
"17147",0
"17149",7573.5
"17151",0
"17153",3658.71
"17155",0
"17157",34257
"17159",91507.44
"17161",559821.73
"17163",1199.12
"17165",29977.05
"17167",6152136.52
"17169",975.71
"17173",17976.27
"17175",0
"17177",31475.5
"17179",246481.79
"17181",88323.86
"17183",162580.04
"17185",10224.54
"17187",4477.05
"17189",8998.82
"17191",29062.78
"17193",41691.56
"17195",24815.38
"17197",1407682.95
"17199",29619.37
"17201",473872.42
"17203",20989.27
"18001",43022.04
"18003",634908.33
"18005",299857.21
"18007",4737.69
"18009",0
"18011",84679.99
"18013",66465.42
"18015",3245.48
"18017",11280.2
"18019",235546.32
"18021",17612.03
"18023",20570.2
"18025",0
"18027",76387.02
"18029",61633.57
"18031",3415
"18035",480464.31
"18037",92606.64
"18039",1659148.37
"18041",0
